epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.01247,1.09078,2.7454,1.48709,0.56633,0.85,0.8784,0.63412,1.65005,1.03166,1.37877,0,0,0
2,3.32582,1.18737,2.79638,1.48877,0.55725,0.85,0.88647,0.63455,1.67063,1.02463,1.38204,1.17822e-06,1.17822e-06,1.17822e-06
3,3.60679,1.09902,2.50974,1.22096,0.56102,0.85,0.85075,0.63197,1.68663,1.01167,1.38759,2.33288e-06,2.33288e-06,2.33288e-06
4,3.85136,1.18898,2.74964,1.49746,0.54584,0.85,0.85608,0.63482,1.67039,0.99183,1.36795,3.46397e-06,3.46397e-06,3.46397e-06
5,4.13914,1.20505,2.44657,1.61831,0.54889,0.85,0.85777,0.63681,1.66692,1.01299,1.36372,4.5715e-06,4.5715e-06,4.5715e-06
6,4.43126,0.83256,1.92702,1.14576,0.54335,0.85903,0.85724,0.62801,1.67997,1.01211,1.37112,5.65548e-06,5.65548e-06,5.65548e-06
7,4.72513,1.40598,2.77424,1.77225,0.53275,0.86277,0.85848,0.62858,1.67564,1.02157,1.37158,6.71588e-06,6.71588e-06,6.71588e-06
8,5.01813,1.19045,3.86115,1.65169,0.56414,0.86667,0.86386,0.63232,1.67558,1.02709,1.36416,7.75273e-06,7.75273e-06,7.75273e-06
9,5.31799,0.90031,2.96273,1.27735,0.55383,0.86667,0.85988,0.63027,1.67194,1.02811,1.35966,8.76602e-06,8.76602e-06,8.76602e-06
10,5.61683,1.04371,2.18184,1.2739,0.53047,0.86667,0.89476,0.64254,1.66917,1.03319,1.35821,9.75574e-06,9.75574e-06,9.75574e-06
11,5.92322,1.19139,2.26895,1.56923,0.62774,0.94492,0.90932,0.64357,1.66775,1.0341,1.35707,1.07219e-05,1.07219e-05,1.07219e-05
12,6.22913,1.00499,2.28377,1.37756,0.63831,0.94396,0.90902,0.64478,1.67483,1.04924,1.35967,1.16645e-05,1.16645e-05,1.16645e-05
13,6.53648,1.36343,3.25064,1.80222,0.61827,0.95,0.90872,0.64726,1.68185,1.05822,1.36262,1.25835e-05,1.25835e-05,1.25835e-05
14,6.83704,0.79161,2.37967,1.20484,0.62573,0.95,0.91033,0.64716,1.68928,1.07267,1.36442,1.3479e-05,1.3479e-05,1.3479e-05
15,7.14229,1.29181,3.04603,1.52925,0.63575,0.78333,0.90943,0.64717,1.6937,1.08047,1.36736,1.43509e-05,1.43509e-05,1.43509e-05
16,7.44244,1.21598,2.077,1.51981,0.64081,0.78333,0.91059,0.63535,1.67484,1.08221,1.35875,1.51993e-05,1.51993e-05,1.51993e-05
17,7.73722,0.81051,1.56152,1.17745,0.86655,0.65,0.87902,0.62339,1.68105,1.09288,1.3629,1.60241e-05,1.60241e-05,1.60241e-05
18,8.02468,0.62356,1.33034,0.99765,0.86655,0.65,0.87902,0.62339,1.68105,1.09288,1.3629,1.68253e-05,1.68253e-05,1.68253e-05
19,8.3185,0.68534,1.53303,1.03273,0.83312,0.65,0.8719,0.62212,1.69389,1.12591,1.37395,1.7603e-05,1.7603e-05,1.7603e-05
20,8.60567,1.15015,1.73577,1.33565,0.83312,0.65,0.8719,0.62212,1.69389,1.12591,1.37395,1.83571e-05,1.83571e-05,1.83571e-05
21,8.91206,0.76023,1.79688,1.17685,0.80592,0.65,0.85417,0.61015,1.6917,1.16875,1.37608,1.90876e-05,1.90876e-05,1.90876e-05
22,9.19556,1.04809,1.70202,1.22637,0.80592,0.65,0.85417,0.61015,1.6917,1.16875,1.37608,1.97946e-05,1.97946e-05,1.97946e-05
23,9.49174,0.97382,1.80149,1.40477,0.79731,0.65,0.85592,0.61086,1.69079,1.19892,1.37703,2.0478e-05,2.0478e-05,2.0478e-05
24,9.77851,0.91468,1.64292,1.22833,0.79731,0.65,0.85592,0.61086,1.69079,1.19892,1.37703,2.11379e-05,2.11379e-05,2.11379e-05
25,10.0761,0.68287,1.9961,1.07345,0.80166,0.65,0.85555,0.59174,1.69954,1.22936,1.38319,2.17741e-05,2.17741e-05,2.17741e-05
26,10.3586,0.85284,1.30335,1.17652,0.80166,0.65,0.85555,0.59174,1.69954,1.22936,1.38319,2.23869e-05,2.23869e-05,2.23869e-05
27,10.6472,0.98702,1.52227,1.42677,0.79799,0.65,0.8557,0.59392,1.70596,1.28309,1.39262,2.2976e-05,2.2976e-05,2.2976e-05
28,10.9257,0.94528,1.21236,1.24082,0.79799,0.65,0.8557,0.59392,1.70596,1.28309,1.39262,2.35417e-05,2.35417e-05,2.35417e-05
29,11.2196,0.94965,1.685,1.29538,0.77967,0.65,0.85541,0.59842,1.69326,1.30162,1.38743,2.40837e-05,2.40837e-05,2.40837e-05
30,11.5335,1.11238,1.28304,1.41817,0.77967,0.65,0.85541,0.59842,1.69326,1.30162,1.38743,2.46022e-05,2.46022e-05,2.46022e-05
31,11.8307,1.0054,1.67473,1.33011,0.76251,0.65,0.85537,0.58046,1.68295,1.34714,1.38433,2.50971e-05,2.50971e-05,2.50971e-05
32,12.1148,0.6714,1.49293,1.31062,0.76251,0.65,0.85537,0.58046,1.68295,1.34714,1.38433,2.55685e-05,2.55685e-05,2.55685e-05
33,12.4081,1.07054,1.96756,1.35842,0.77669,0.65,0.86257,0.56579,1.6483,1.38118,1.36745,2.60163e-05,2.60163e-05,2.60163e-05
